s;Players
07.02.2019 00:00;2207
08.02.2019 00:00;2236
09.02.2019 00:00;2804
10.02.2019 00:00;2735
11.02.2019 00:00;2071
12.02.2019 00:00;1795
13.02.2019 00:00;1584
14.02.2019 00:00;1407
15.02.2019 00:00;1521
16.02.2019 00:00;1761
17.02.2019 00:00;1804
18.02.2019 00:00;1374
19.02.2019 00:00;1205
20.02.2019 00:00;1149
21.02.2019 00:00;1015
22.02.2019 00:00;1258
23.02.2019 00:00;1540
24.02.2019 00:00;1564
25.02.2019 00:00;1674
26.02.2019 00:00;1414
27.02.2019 00:00;1322
28.02.2019 00:00;4541
01.03.2019 00:00;10855
02.03.2019 00:00;14963
03.03.2019 00:00;13210
04.03.2019 00:00;5406
05.03.2019 00:00;4349
06.03.2019 00:00;3782
07.03.2019 00:00;3475
08.03.2019 00:00;3100
09.03.2019 00:00;3734
10.03.2019 00:00;3420
11.03.2019 00:00;2466
12.03.2019 00:00;2209
13.03.2019 00:00;2070
14.03.2019 00:00;1921
15.03.2019 00:00;2022
16.03.2019 00:00;2386
17.03.2019 00:00;2357
18.03.2019 00:00;1811
19.03.2019 00:00;1668
20.03.2019 00:00;1492
21.03.2019 00:00;2757
22.03.2019 00:00;2698
23.03.2019 00:00;2970
24.03.2019 00:00;3046
25.03.2019 00:00;2202
26.03.2019 00:00;2116
27.03.2019 00:00;2046
28.03.2019 00:00;1804
29.03.2019 00:00;1931
30.03.2019 00:00;2154
31.03.2019 00:00;2249
01.04.2019 00:00;1608
02.04.2019 00:00;1560
03.04.2019 00:00;1408
04.04.2019 00:00;1417
05.04.2019 00:00;1556
06.04.2019 00:00;1863
07.04.2019 00:00;1930
08.04.2019 00:00;1389
09.04.2019 00:00;1245
10.04.2019 00:00;1319
11.04.2019 00:00;1301
12.04.2019 00:00;1473
13.04.2019 00:00;1638
14.04.2019 00:00;1738
15.04.2019 00:00;1169
16.04.2019 00:00;1144
17.04.2019 00:00;1100
18.04.2019 00:00;1159
19.04.2019 00:00;1177
20.04.2019 00:00;1301
21.04.2019 00:00;1273
22.04.2019 00:00;1023
23.04.2019 00:00;938
24.04.2019 00:00;967
25.04.2019 00:00;988
26.04.2019 00:00;1118
27.04.2019 00:00;1301
28.04.2019 00:00;1404
29.04.2019 00:00;909
30.04.2019 00:00;980
01.05.2019 00:00;1037
02.05.2019 00:00;992
03.05.2019 00:00;1004
04.05.2019 00:00;1233
05.05.2019 00:00;1305
06.05.2019 00:00;920
07.05.2019 00:00;871
08.05.2019 00:00;860
09.05.2019 00:00;879
10.05.2019 00:00;997
11.05.2019 00:00;1146
12.05.2019 00:00;1134
13.05.2019 00:00;871
14.05.2019 00:00;894
15.05.2019 00:00;2167
16.05.2019 00:00;1822
17.05.2019 00:00;1862
18.05.2019 00:00;1975
19.05.2019 00:00;2180
20.05.2019 00:00;1650
21.05.2019 00:00;1512
22.05.2019 00:00;1533
23.05.2019 00:00;1970
24.05.2019 00:00;2382
25.05.2019 00:00;3071
26.05.2019 00:00;3454
27.05.2019 00:00;3504
28.05.2019 00:00;2932
29.05.2019 00:00;2634
30.05.2019 00:00;2512
31.05.2019 00:00;2261
01.06.2019 00:00;2570
02.06.2019 00:00;2627
03.06.2019 00:00;1844
04.06.2019 00:00;1714
05.06.2019 00:00;1600
06.06.2019 00:00;1546
07.06.2019 00:00;1547
08.06.2019 00:00;1842
09.06.2019 00:00;1891
10.06.2019 00:00;1406
11.06.2019 00:00;1403
12.06.2019 00:00;1389
13.06.2019 00:00;1376
14.06.2019 00:00;1447
15.06.2019 00:00;1569
16.06.2019 00:00;1828
17.06.2019 00:00;1325
18.06.2019 00:00;1255
19.06.2019 00:00;1223
20.06.2019 00:00;1534
21.06.2019 00:00;1392
22.06.2019 00:00;1493
23.06.2019 00:00;1595
24.06.2019 00:00;1277
25.06.2019 00:00;1642
26.06.2019 00:00;2022
27.06.2019 00:00;2236
28.06.2019 00:00;2270
29.06.2019 00:00;2808
